experiment_name,method,c_param,num_simulations,game_index,final_score,max_tile,num_moves
baseline_random,random,,,0,2596,256,220
baseline_random,random,,,1,728,64,96
baseline_random,random,,,2,1364,128,141
baseline_random,random,,,3,440,32,67
baseline_random,random,,,4,1056,128,114
c_sweep_c0.5,mcts,0.5,30,0,14500,1024,853
c_sweep_c0.5,mcts,0.5,30,1,4348,512,290
c_sweep_c0.5,mcts,0.5,30,2,12392,1024,745
c_sweep_c0.5,mcts,0.5,30,3,10196,1024,583
c_sweep_c0.5,mcts,0.5,30,4,4996,512,335
c_sweep_c1.0,mcts,1.0,30,0,23208,2048,1191
c_sweep_c1.0,mcts,1.0,30,1,14264,1024,827
c_sweep_c1.0,mcts,1.0,30,2,6380,512,428
c_sweep_c1.0,mcts,1.0,30,3,6928,512,468
c_sweep_c1.0,mcts,1.0,30,4,7476,512,521
c_sweep_c1.414,mcts,1.414,30,0,6568,512,450
c_sweep_c1.414,mcts,1.414,30,1,1100,128,118
c_sweep_c1.414,mcts,1.414,30,2,9704,1024,552
c_sweep_c1.414,mcts,1.414,30,3,7468,512,521
c_sweep_c1.414,mcts,1.414,30,4,15600,1024,909
budget_sweep_b5,mcts,1.414,5,0,5568,512,395
budget_sweep_b5,mcts,1.414,5,1,2224,128,211
budget_sweep_b5,mcts,1.414,5,2,6316,512,425
budget_sweep_b5,mcts,1.414,5,3,3224,256,271
budget_sweep_b5,mcts,1.414,5,4,5456,512,384
budget_sweep_b15,mcts,1.414,15,0,5416,512,375
budget_sweep_b15,mcts,1.414,15,1,6896,512,471
budget_sweep_b15,mcts,1.414,15,2,11524,1024,686
budget_sweep_b15,mcts,1.414,15,3,3000,256,239
budget_sweep_b15,mcts,1.414,15,4,2504,256,212
budget_sweep_b30,mcts,1.414,30,0,2864,256,234
budget_sweep_b30,mcts,1.414,30,1,2016,128,187
budget_sweep_b30,mcts,1.414,30,2,11768,1024,702
budget_sweep_b30,mcts,1.414,30,3,5696,512,400
budget_sweep_b30,mcts,1.414,30,4,7132,512,488
budget_sweep_b60,mcts,1.414,60,0,11924,1024,702
budget_sweep_b60,mcts,1.414,60,1,12112,1024,719
budget_sweep_b60,mcts,1.414,60,2,6812,512,456
budget_sweep_b60,mcts,1.414,60,3,6320,512,425
budget_sweep_b60,mcts,1.414,60,4,6172,512,437
