experiment_name,method,c_param,num_simulations,game_index,final_score,max_tile,num_moves
baseline_random,random,,,0,2596,256,220
baseline_random,random,,,1,728,64,96
baseline_random,random,,,2,1364,128,141
baseline_random,random,,,3,440,32,67
baseline_random,random,,,4,1056,128,114
c_sweep_c0.5,mcts,0.5,30,0,11944,1024,706
c_sweep_c0.5,mcts,0.5,30,1,11116,1024,637
c_sweep_c0.5,mcts,0.5,30,2,14256,1024,826
c_sweep_c0.5,mcts,0.5,30,3,10020,1024,560
c_sweep_c0.5,mcts,0.5,30,4,3088,256,253
c_sweep_c1.0,mcts,1.0,30,0,13912,1024,803
c_sweep_c1.0,mcts,1.0,30,1,7028,512,478
c_sweep_c1.0,mcts,1.0,30,2,6796,512,473
c_sweep_c1.0,mcts,1.0,30,3,2912,256,237
c_sweep_c1.0,mcts,1.0,30,4,7124,512,485
c_sweep_c1.414,mcts,1.414,30,0,3416,256,272
c_sweep_c1.414,mcts,1.414,30,1,4952,512,335
c_sweep_c1.414,mcts,1.414,30,2,3212,256,264
c_sweep_c1.414,mcts,1.414,30,3,5976,512,389
c_sweep_c1.414,mcts,1.414,30,4,13884,1024,785
budget_sweep_b5,mcts,1.414,5,0,7028,512,473
budget_sweep_b5,mcts,1.414,5,1,1580,128,158
budget_sweep_b5,mcts,1.414,5,2,3024,256,253
budget_sweep_b5,mcts,1.414,5,3,3300,256,276
budget_sweep_b5,mcts,1.414,5,4,2140,256,177
budget_sweep_b15,mcts,1.414,15,0,12044,1024,709
budget_sweep_b15,mcts,1.414,15,1,3472,256,274
budget_sweep_b15,mcts,1.414,15,2,6672,512,460
budget_sweep_b15,mcts,1.414,15,3,3172,256,264
budget_sweep_b15,mcts,1.414,15,4,11744,1024,700
budget_sweep_b30,mcts,1.414,30,0,3956,256,328
budget_sweep_b30,mcts,1.414,30,1,3008,256,249
budget_sweep_b30,mcts,1.414,30,2,7812,512,537
budget_sweep_b30,mcts,1.414,30,3,6992,512,480
budget_sweep_b30,mcts,1.414,30,4,7384,512,513
budget_sweep_b60,mcts,1.414,60,0,2420,256,204
budget_sweep_b60,mcts,1.414,60,1,11712,1024,674
budget_sweep_b60,mcts,1.414,60,2,7596,512,524
budget_sweep_b60,mcts,1.414,60,3,10412,1024,612
budget_sweep_b60,mcts,1.414,60,4,7400,512,505
